FrameNr,NumberMidPoints,MidPoint_1_x,MidPoint_1_y,MidPoint_2_x,MidPoint_2_y,MidPoint_3_x,MidPoint_3_y,MidPoint_4_x,MidPoint_4_y,MidPoint_5_x,MidPoint_5_y,MidPoint_6_x,MidPoint_6_y,MidPoint_7_x,MidPoint_7_y,MidPoint_8_x,MidPoint_8_y,MidPoint_9_x,MidPoint_9_y,MidPoint_10_x,MidPoint_10_y
95.0000,3.0000,904.8005,1527.7329,1156.1209,1083.1179,1544.6312,168.4425,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
96.0000,4.0000,905.3582,1605.6765,1156.5998,1162.1177,1544.8343,245.0145,1055.0631,39.1230,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
97.0000,3.0000,1156.7802,1240.7362,1545.3591,321.2170,1054.9155,117.8790,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
98.0000,3.0000,1156.8353,1319.1926,1546.5134,397.9946,1055.3776,196.9186,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
99.0000,3.0000,1157.1292,1397.8150,1547.9516,474.9319,1055.5307,275.5915,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100.0000,3.0000,1157.4949,1476.1232,1549.6235,552.4613,1056.2039,354.8352,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
101.0000,3.0000,1157.7466,1554.0925,1551.7020,630.4408,1056.4716,433.5967,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
102.0000,3.0000,1157.7086,1632.7792,1554.2379,709.1316,1056.5082,512.6322,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
103.0000,2.0000,1556.5303,787.6228,1056.9329,591.3438,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
104.0000,3.0000,1558.8057,866.4550,1057.1679,670.8321,309.8700,85.5375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
105.0000,3.0000,1560.4538,944.2782,1057.5271,749.8836,309.6631,164.2399,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
106.0000,3.0000,1561.9061,1022.1992,1057.8700,828.7741,309.2943,243.5932,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
107.0000,4.0000,1562.9346,1099.5271,1058.1848,907.9095,309.3595,322.8691,853.4845,70.6508,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
108.0000,4.0000,1563.9995,1177.0009,1058.6495,987.6658,309.9213,402.2752,856.5339,148.9700,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
109.0000,4.0000,1564.9631,1254.5102,1058.9576,1067.4308,309.7740,481.4970,859.4252,227.6949,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
110.0000,4.0000,1565.8436,1332.2385,1059.1429,1147.4681,310.0722,560.3733,862.3034,306.8187,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
111.0000,4.0000,1566.3441,1409.7892,1059.5243,1227.5111,309.8969,639.4471,864.9035,385.8002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
112.0000,4.0000,1567.0189,1487.8360,1059.8465,1307.3239,310.3429,718.3546,867.2140,464.3093,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
113.0000,5.0000,1567.6667,1565.9891,1060.0124,1387.2169,310.8253,797.2888,869.3505,542.5194,1232.6859,70.8917,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
114.0000,6.0000,1568.6763,1644.3730,1059.4569,1466.8573,310.9348,876.4871,871.6580,620.4330,1233.2661,149.7712,1298.6322,82.2665,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
115.0000,5.0000,1060.1698,1546.1752,311.3500,956.2904,873.8494,698.9159,1233.7785,228.8085,1299.0392,160.6868,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
116.0000,5.0000,1060.7309,1625.2038,311.4878,1035.0550,875.9332,777.5641,1234.1730,307.8364,1299.3064,239.6553,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
117.0000,4.0000,311.4673,1113.6347,877.5862,857.1739,1234.5493,386.9738,1299.7333,318.1596,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
118.0000,5.0000,312.6924,1192.3059,879.4348,936.5525,1234.8018,465.7261,1299.7144,396.3739,576.5142,86.0653,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
119.0000,5.0000,313.3132,1271.9193,881.0847,1017.0976,1234.8985,545.5269,1300.3591,476.3001,576.3722,165.5141,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
120.0000,6.0000,313.5050,1350.5411,882.2435,1096.9828,1235.1020,624.2486,1300.7899,555.3744,576.7052,244.0464,1105.5166,101.6256,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
121.0000,6.0000,313.8098,1429.1073,882.9076,1177.7014,1235.1882,703.7753,1301.0026,635.1102,576.5844,322.6685,1106.0079,180.1213,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
122.0000,6.0000,314.8507,1506.9044,883.8945,1257.6647,1235.6080,782.7356,1301.3090,713.8779,576.5512,401.0558,1106.3808,258.7108,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
