FrameNr,NumberMidPoints,MidPoint_1_x,MidPoint_1_y,MidPoint_2_x,MidPoint_2_y,MidPoint_3_x,MidPoint_3_y,MidPoint_4_x,MidPoint_4_y,MidPoint_5_x,MidPoint_5_y,MidPoint_6_x,MidPoint_6_y,MidPoint_7_x,MidPoint_7_y,MidPoint_8_x,MidPoint_8_y,MidPoint_9_x,MidPoint_9_y
122.0000,2.0000,1630.8227,1217.1889,1673.4497,924.7766,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
123.0000,2.0000,1628.4034,1306.7223,1672.6437,1013.7812,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
124.0000,2.0000,1626.0669,1397.2393,1672.1002,1103.7360,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
125.0000,2.0000,1623.9778,1487.1603,1671.4473,1193.0163,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
126.0000,3.0000,1621.6923,1577.3879,1670.7772,1283.0756,425.3880,34.4419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
127.0000,3.0000,1670.0375,1372.3763,423.2405,127.6095,1595.9023,112.4778,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
128.0000,3.0000,1669.1857,1462.3065,420.7555,221.4320,1597.2643,203.0816,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
129.0000,4.0000,1668.5117,1551.3070,418.4000,314.3130,1598.7124,292.7655,929.7102,124.7465,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
130.0000,4.0000,1667.2641,1641.1081,416.3009,408.2090,1599.9494,383.0610,931.4290,218.0483,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
131.0000,3.0000,414.2931,501.5823,1601.0841,472.4052,932.9648,310.6211,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
132.0000,3.0000,412.7151,594.7454,1602.4980,561.9073,934.6234,403.3371,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
133.0000,3.0000,410.9739,688.2824,1603.4893,651.5530,935.8380,496.0111,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
134.0000,3.0000,409.1743,781.9668,1604.5266,741.3403,937.0784,588.8280,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
135.0000,3.0000,407.3800,875.2003,1605.3258,831.0506,938.2865,681.2555,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
136.0000,3.0000,405.6005,968.1468,1605.8323,920.9601,939.6276,773.9806,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
137.0000,3.0000,403.7619,1061.4060,1606.5839,1010.8603,940.7923,866.9131,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
138.0000,3.0000,401.9622,1154.5566,1607.2994,1100.4438,942.0803,959.2969,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
139.0000,3.0000,399.9641,1247.6406,1607.9892,1190.3948,943.4126,1051.7029,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
140.0000,3.0000,398.2956,1340.1226,1608.9145,1279.4965,944.9506,1143.4169,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
