FrameNr,NumberMidPoints,MidPoint_1_x,MidPoint_1_y,MidPoint_2_x,MidPoint_2_y,MidPoint_3_x,MidPoint_3_y,MidPoint_4_x,MidPoint_4_y,MidPoint_5_x,MidPoint_5_y,MidPoint_6_x,MidPoint_6_y,MidPoint_7_x,MidPoint_7_y,MidPoint_8_x,MidPoint_8_y,MidPoint_9_x,MidPoint_9_y,MidPoint_10_x,MidPoint_10_y,MidPoint_11_x,MidPoint_11_y
74.0000,8.0000,1410.7026,1308.1153,1778.0414,1189.0718,1142.8784,1021.6965,1070.4841,757.3029,1007.9087,568.1275,1820.1055,460.7091,860.6118,313.7752,464.8506,132.6896,NaN,NaN,NaN,NaN,NaN,NaN
75.0000,8.0000,1411.2708,1399.1884,1774.0423,1279.3972,1141.9292,1111.8028,1069.5975,849.3458,1005.8168,662.9081,1818.4275,554.0781,863.8381,407.9294,463.7825,224.7458,NaN,NaN,NaN,NaN,NaN,NaN
76.0000,8.0000,1412.0975,1488.8785,1769.8747,1368.1684,1141.0279,1200.6382,1068.6215,939.9433,1003.7961,756.2532,1816.6759,645.9039,867.4476,500.6954,462.7851,315.4060,NaN,NaN,NaN,NaN,NaN,NaN
77.0000,9.0000,1412.7957,1580.1636,1765.5522,1458.1692,1139.6766,1290.4727,1067.9725,1032.0648,1001.9035,851.3739,1814.5692,739.4297,870.9134,595.2300,461.7471,407.5134,854.3164,41.8364,NaN,NaN,NaN,NaN
78.0000,9.0000,1760.9923,1546.2504,1138.4943,1378.6915,1067.2835,1122.2523,999.8991,944.4797,1812.6360,831.3250,874.5804,687.8559,460.7442,497.7903,853.0541,131.1325,760.5098,55.8791,NaN,NaN,NaN,NaN
79.0000,9.0000,1756.2128,1635.6933,1137.0875,1467.5494,1066.6862,1213.5551,997.9047,1038.6372,1810.3223,924.5978,878.0561,781.4981,459.8109,589.0055,851.7490,221.6672,758.4621,149.2404,NaN,NaN,NaN,NaN
80.0000,8.0000,1135.5567,1555.2049,1066.1429,1303.3782,995.8955,1131.1151,1808.0908,1016.4294,881.8528,873.7744,459.0926,679.0848,850.5962,311.1744,756.6560,241.3802,NaN,NaN,NaN,NaN,NaN,NaN
81.0000,8.0000,1133.8562,1643.9375,1065.5058,1394.4172,993.8683,1224.8943,1805.7126,1109.1498,885.5731,967.2080,458.4978,770.3006,849.3409,401.8683,754.8322,334.6762,NaN,NaN,NaN,NaN,NaN,NaN
82.0000,7.0000,1064.7118,1483.8407,991.8200,1316.7994,1803.3893,1200.5260,889.1206,1058.7234,457.7424,860.1318,848.1005,491.0611,753.0746,426.5263,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
83.0000,7.0000,1063.6814,1573.6774,989.7645,1409.5192,1800.7922,1292.6515,892.9342,1151.0945,457.2977,950.8388,847.1091,581.8326,751.5566,519.7310,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
84.0000,7.0000,1063.1025,1662.2792,987.3108,1501.0517,1798.4940,1383.4355,896.6090,1242.6938,456.8522,1040.6263,846.2269,671.8117,750.0026,611.7575,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
85.0000,6.0000,984.9938,1593.5706,1795.9354,1475.1154,900.3230,1335.5795,456.3130,1131.4845,844.7491,761.9291,748.2015,705.0831,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
